feature,importance
homicidios_ma3,0.9474796530389022
homicidios_lag1,0.028471274385641492
homicidios_lag3,0.014579770679625095
homicidios_lag2,0.0045081186966774095
año,0.0020094417629446678
mes,0.0017409092463514621
trimestre,0.00038956103026262
count_detenidos,0.00034047321572426077
poblacion,0.0003308274509676727
provincia_cod,0.00014997049290307478
count_armas,0.0
count_desaparecidos,0.0
